,Postalcode
0,Homebox ; 11 rue Piccini 75016 Paris
1,Homebox ; 8 place Boulnois 75017 Paris
2,Homebox ; 1 rue Jean Lolive 93170 Bagnolet
3,Homebox ; 12-14 avenue de la République 93170 Bagnolet
4,Homebox ; 137-141 avenue Jean Jaurès 93300 Aubervilliers
5,Homebox ; 157 boulevard de Chanzy 93100 Montreuil
6,Homebox ; 209 avenue de la République 93800 Epinay-sur-Seine
7,Homebox ; 73 rue Noël Pons 92000 Nanterre
8,Homebox ; 48 rue de Seine 92700 Colombes
9,Homebox ; 10 avenue Georges Brassens 94470 Boissy-Saint-Léger
10,Homebox ; rue du capitaine Dreyfus 95130 Franconville
11,Homebox ; 6 rue du Canal 91160 Longjumeau
12,Homebox ; 383 rue de la Belle Etoile Parc des Nations 95948 Roissy
13,Homebox ; 9 allée du Clos des Charmes 77090 Collégien
14,Homebox ; 14 avenue du bois de l'épine 91080 Courcouronnes
15,Homebox ; 5 rue Henri Navier 78570 Chanteloup-Les-Vignes
16,Homebox ; 2 Chemin des vallées 5 rue des Hauts Chupins 91310 Linas
17,Homebox ; 15 rue Descartes 78370 Plaisir
18,Homebox ; 7 rue Claude Bernard 78310 Maurepas
19,Homebox ; 29 Rue du Cuivre 77176 Savigny-Le-Temple
20,Homebox ; Zone Commerciale Saint-Maximin 60740 Saint-Maximin
21,Homebox ; allée des Primevères 60440 Nanteuil-Le-Haudoin
22,Privat ;Rue de Rivoli - 75004 Paris
23,Privat ;Rue du Temple - 75004 Paris
24,Privat ;Rue du Temple - 75004 Paris
25,Privat ;Rue du Bourg l'Abbé - 75003 Paris
26,Privat ;Passage du Ponceau - 75002 Paris-2E-Arrondissement
27,Privat ;Rue Amelot - 75011 Paris
28,Privat ;Rue de Rivoli - 75001 Paris
29,Privat ;Rue de Mulhouse - 75002 Paris
30,Privat ;Rue Sedaine - 75011 Paris
31,Privat ;Rue Sedaine - 75011 Paris
32,Privat ;Boulevard de Strasbourg - 75010 Paris
33,Privat ;Boulevard de Strasbourg - 75010 Paris
34,Privat ;Rue du Fer À Moulin - 75005 Paris
35,Privat ;Rue de la Paix - 75002 Paris
36,Privat ;Rue Cadet - 75009 Paris
37,Privat ;Rue de Chabrol - 75010 Paris
38,Privat ;Rue du Faubourg Saint-Martin - 75010 Paris
39,Privat ;Rue de Varenne - 75007 Paris
40,Privat ;Rue de Sèvres - 75007 Paris
41,Privat ;Rue Choron - 75009 Paris
42,Privat ;Rue Choron - 75009 Paris
43,Privat ;Rue Choron - 75009 Paris
44,Privat ;Rue Choron - 75009 Paris
45,Privat ;Boulevard de Belleville - 75011 Paris
46,Privat ;Rue de Dunkerque - 75010 Paris
47,Privat ;Avenue du Nord - 75014 Paris
48,Privat ;Rue de l'Université - 75007 Paris
49,Privat ;Avenue Philippe-Auguste - 75011 Paris
50,Privat ;Avenue Philippe-Auguste - 75011 Paris
51,Privat ;Villa Dancourt - 75018 Paris
52,Privat ;Rue de Clichy - 75009 Paris
53,Privat ;Rue de Rome - 75008 Paris
54,Privat ;Rue du Commandeur - 75014 Paris
55,Privat ;Rue Guyton de Morveau - 75013 Paris
56,Privat ;Rue du Colisée - 75008 Paris
57,Privat ;Rue Doudeauville - 75018 Paris
58,Privat ;Rue de Belleville - 75020 Paris
59,Privat ;Rue Saint-Yves - 75014 Paris
60,Privat ;Rue Sarrette - 75014 Paris
61,Privat ;Rue Pelleport - 75020 Paris
62,Privat ;Rue Pelleport - 75020 Paris
63,Privat ;Rue Manin - 75019 Paris
64,Privat ;Rue Gazan - 75014 Paris
65,Privat ;Rue du Père Corentin - 75014 Paris
66,Privat ;Rue du Père Corentin - 75014 Paris
67,Privat ;Rue Lebouteux - 75017 Paris
68,Privat ;Avenue de Flandre - 75019 Paris
69,Privat ;Avenue de Flandre - 75019 Paris
70,Privat ;Rue du Clos - 75020 Paris
71,Privat ;Rue de l'Amiral Roussin - 75015 Paris
72,Privat ;Rue Mathis - 75019 Paris
73,Privat ;Boulevard Ornano - 75018 Paris
74,Privat ;Passage de Crimée - 75019 Paris
75,Privat ;Rue Davy - 75017 Paris
76,Privat ;Rue Curial - 75019 Paris
77,Privat ;Rue de l'Abbé Groult - 75015 Paris
78,Privat ;Rue des Fermiers - 75017 Paris
79,Privat ;Rue Jouffroy d'Abbans - 75017 Paris
80,Privat ;Rue Jouffroy d'Abbans - 75017 Paris
81,Privat ;Rue du Théâtre - 75015 Paris
82,Privat ;Rue du Printemps - 75017 Paris
83,Privat ;Rue de Dantzig - 75015 Paris
84,Privat ;Rue Copernic - 75116 Paris
85,Privat ;Rue Copernic - 75116 Paris
86,Privat ;Rue Rennequin - 75017 Paris
87,Privat ;Avenue du Président Kennedy - 75016 Paris
88,Privat ;Avenue Jean Jaurès - 93310 Le Pré-Saint-Gervais
89,Privat ;Place du Maréchal Juin - 75017 Paris
90,Privat ;Rue Saint-Charles - 75015 Paris
91,Privat ;Avenue Victor Hugo - 75016 Paris
92,Privat ;Rue Galvani - 75017 Paris
93,Privat ;Rue Jean Moreas - 75017 Paris
94,Privat ;Rue Faustin Hélie - 75116 Paris
95,Privat ;Rue Paul Bert - 93500 Pantin
96,Privat ;Rue Victor Hugo - 93500 Pantin
97,Privat ;Rue Victor Hugo - 93500 Pantin
98,Privat ;Rue Octave Feuillet - 75116 Paris
99,Privat ;Boulevard du Général Leclerc - 92110 Clichy
100,Privat ;Avenue Carnot - 94230 Cachan
101,Privat ;Rue Véron - 94140 Alfortville
102,Privat ;Avenue Aristide Briand - 94230 Cachan
103,Privat ;Avenue Aristide Briand - 94230 Cachan
104,Privat ;Rue Henri Regnault - 94700 Maisons-Alfort
105,Privat ;Boulevard Saint-Denis - 92400 Courbevoie
106,Privat ;Rue des Bleuets - 94140 Alfortville
107,Privat ;Rue Ferdinand Jamin - 92340 Bourg-la-Reine
108,Privat ;Route de la Reine - 92100 Boulogne-Billancourt
109,Privat ;Boulevard du Maréchal Joffre - 92340 Bourg-la-Reine
110,Privat ;Avenue Charles de Gaulle - 92270 Bois-Colombes
111,Privat ;Rue Louis Pouey - 92800 Puteaux
112,Privat ;Rue Victor Hugo - 92800 Puteaux
113,Privat ;Rue Victor Hugo - 92600 Asnières-sur-Seine
114,Privat ;Rue de l'Adjudant-Chef Dericbourg - 94550 Chevilly-Larue
115,Privat ;Rue Claude Mivière - 92270 Bois-Colombes
116,Privat ;Avenue Foch - 92250 La Garenne-Colombes
117,Privat ;Rue d'Odessa - 93000 Bobigny
118,Privat ;Rue des Églantiers - 94320 Thiais
119,Privat ;Boulevard de Stalingrad - 94500 Champigny-sur-Marne
120,Privat ;Allée René Laennec - 92000 Nanterre
121,Privat ;Avenue Aristide Briand - 93320 Les Pavillons-sous-Bois
122,Privat ;Avenue Aristide Briand - 93320 Les Pavillons-sous-Bois
123,Privat ;Avenue de Colmar - 92500 Rueil-Malmaison
124,Privat ;Avenue Napoléon Bonaparte - 92500 Rueil-Malmaison
125,Privat ;Rue Pierre Corre - 95410 Groslay
126,Privat ;Avenue Foch - 92420 Vaucresson
127,Privat ;Place du Général Charles de Gaulle - 78400 Chatou
128,Privat ;Rue de la Procession - 94470 Boissy-Saint-Léger
129,Privat ;Avenue Kléber - 78110 Le Vésinet
130,Privat ;Avenue Saint-Pierre - 94420 Le Plessis-Trévise
131,Privat ;Avenue du Petit Parc - 78620 L'Étang-la-Ville
132,Privat ;Boulevard de la Paix - 78300 Poissy
133,Privat ;Résidence du Parc de Petit Bourg - 91000 Évry
134,Privat ;Square Albert Einstein - 91000 Évry
135,Privat ;Les Larris Orange - 95300 Pontoise
136,Privat ;Rue Eric de Martimprey - 95300 Pontoise
137,Privat ;Rue du Bon Noyer - 91640 Fontenay-lès-Briis
138,Privat ;Rue de la Gare - 78370 Plaisir
139,Privat ;Rue de la Gare - 78370 Plaisir
140,Privat ;Rue de la Gare - 78370 Plaisir
141,Privat ;Rue de la Gare - 78370 Plaisir
142,Privat ;Rue de la Gare - 78370 Plaisir
143,Privat ;Rue de la Gare - 78370 Plaisir
144,Privat ;Rue de la Gare - 78370 Plaisir
145,Privat ;Rue du Pic Cendré - 60520 La Chapelle-en-Serval
146,Privat ;Avenue de la Libération - 60260 Lamorlaye
147,Privat ;Rue Jean Jaurès - 78130 Les Mureaux
148,Privat ;Cours de la Reine Blanche - 77000 Melun
149,Privat ;Rue de l'Écluse - 77000 Melun
150,Privat ;Rue de Gaillardon - 77000 Melun
151,Privat ;Rue de la Rochette - 77000 Melun
152,Privat ;Rue de la Rochette - 77000 Melun
153,Privat ;Allée des Percé-Neige - 60110 Méru
154,Privat ;Rue Marcel Sembat - 78711 Mantes-la-Ville
155,Homebox ; 53 boulevard Marcel Sembat 69200 Vénissieux
156,Homebox ; 21 rue Emile Zola 69150 Décines-Charpieu
157,Homebox ; 21 rue du Champ Dolin 69800 Saint Priest
158,Homebox ; 17 rue des Rosieristes 69410 Champagne au Mont d'Or
159,Privat ;Cours Lafayette - 69003 Lyon
160,Privat ;Petite Rue de la Viabert - 69006 Lyon
161,Privat ;Rue de la Rosière - 69008 Lyon
162,Privat ;Route de Vienne - 69008 Lyon
163,Privat ;Rue Challemel-Lacour - 69008 Lyon
164,Privat ;Avenue Général Frère - 69008 Lyon
165,Privat ;Avenue de Limburg - 69110 Sainte-Foy-lès-Lyon
166,Privat ;Avenue Edouard Millaud - 69290 Craponne
167,Privat ;Rue du Pont Chabrol - 69290 Craponne
168,Privat ;Rue du Pont Chabrol - 69290 Craponne
169,Privat ;Rue du Pré Joli - 69210 Lentilly
170,Privat ;Chemin des Bruyères - 01800 Faramans
171,Privat ;Rue de Bomal - 69820 Fleurie
172,Homebox ; 43 Boulevard Guigou 13003 Marseille
173,Homebox ; 173 chemin de la Madrague-Ville 13002 Marseille
174,Homebox ; Le petit péage 13170 Les Pennes-Mirabeau
175,Homebox ; Chemin de la Muscatelle ZA de la Muscatelle 13790 Châteauneuf-le-Rouge
176,Privat ;Rue des Dominicaines - 13001 Marseille
177,Privat ;Rue de Pologne - 13010 Marseille
178,Privat ;Avenue Noël Coll - 13011 Marseille
179,Privat ;Chemin des Bourrely - 13015 Marseille
180,Privat ;Résidence Val d'Azur 1 - 13600 La Ciotat
181,Privat ;Boulevard de la Peyrière - 83150 Bandol
182,Homebox ; 14 rue Jacques Babinet 31100 Toulouse
183,Homebox ; 8 avenue Fondeyre 31200 Toulouse
184,Privat ;Grande Rue Saint-Michel - 31400 Toulouse
185,Privat ;Chemin Raynal - 31200 Toulouse
186,Privat ;Ancienne Route de Bayonne - 31820 Pibrac
187,Privat ;Allée du Pastel - 31570 Saint-Pierre-de-Lages
188,Homebox ; 1 rue de L'Hermite 33520 Bruges
189,Homebox ; 130 rue Achard 33000 Bordeaux
190,Privat ;Cours Marechal Gallieni - 33000 Bordeaux
191,Privat ;Rue Edouard Branly - 33110 Le Bouscat
192,Privat ;Impasse Queyries - 33150 Cenon
193,Privat ;Rue des Lilas - 33440 Saint-Louis-de-Montferrand
194,Privat ;Chemin de Marceron - 33160 Saint-Aubin-de-Médoc
195,Homebox ; 6 rue Leotardi 06300 Nice
196,Homebox ; 456 chemin du Carimaï 06250 Mougins
197,Privat ;Boulevard de Magnan - 06200 Nice
198,Homebox ; 4 rue Paul Langevin 59260 Lezennes
199,Homebox ; 13 rue du Houblon 59700 Marcq en Baroeul
200,Homebox ; Boulevard de la Fossé 9 62149 Annequin
201,Privat ;Rue Royale - 59320 Radinghem-en-Weppes
202,Privat ;Rue de l'Épine - 59200 Tourcoing
203,Privat ;Avenue Pasteur - 59480 La Bassée
204,Privat ;Rue Paul Vaillant Couturier - 62110 Hénin-Beaumont
205,Privat ;Avenue de Twickenham - 59500 Douai
206,Privat ;Rue de la Taillerie - 62000 Arras
207,Privat ;Chemin des Sources - 59111 Hordain
208,Homebox ; 2 rue du Danemark 44482 Carquefou
209,Homebox ; 225 boulevard de la Prairie 44150 Saint Gereon
210,"Homebox ; Chemin du moulin, 44550 Montoir de Bretagne"
211,Privat ;Rue du Pays de Retz - 44860 Pont-Saint-Martin
212,Homebox ; 925 Avenue du Marché Gare 34070 MONTPELLIER
213,Homebox ; Place André Bazile 30000 Nîmes
214,Privat ;Avenue de la Justice de Castelnau - 34090 Montpellier
215,Privat ;Avenue de Lodeve - 34070 Montpellier
216,Privat ;Rue de Centrayrargues - 34000 Montpellier
217,Privat ;Rue Lazare Ponticelli - 34070 Montpellier
218,Privat ;Rue Fra Angelico - 34000 Montpellier
219,Privat ;Avenue de Lodeve - 34080 Montpellier
220,Privat ;Avenue du XV de France - 34070 Montpellier
221,Privat ;Rue de la Condamine - 34080 Montpellier
222,Privat ;Rue Alberti - 34970 Lattes
223,Privat ;Chemin du Salinié - 34570 Pignan
224,Privat ;Route D Arles - 30230 Garons
